Current_Rep,Seller,Date,Doc_Type,Doc_No,Customer,Customer_Group,Material_Code,Amount,Sales_Qty,Ship_To_State,Billing_Country,Material_Name,Broad_Phase,Product_Phase,Particle_size,Pore_size,ID_(mm),Length_(mm),List_price,Price_Floor,Specification
Sales Rep D,Sales Rep B,5/18/2025,Standard Sales Order,SO2023000063,ACCT_0868_OEL,ACCT_0868,FAKE-00955,4870.4,2,NC,USA,"HPLC Column,  Proteomix HIC Butyl-NP1.7",HIC,Proteomix HIC Butyl,1.7,NP,4.6,100,2086.0,1877.4,4.6mmx100mm
Sales Rep D,Sales Rep A,1/9/2025,Standard Sales Order,SO2024000064,ACCT_0868_EFT,ACCT_0868,FAKE-00604,28376.8,20,MA,USA,"HPLC Column,  Zenix-C SEC-80",SEC,Zenix-C SEC,3,80,4.6,300,1429.06,1274.23,4.6mmx300mm
Sales Rep C,Sales Rep B,8/17/2025,Standard Sales Order,SO2025000065,ACCT_0868_YPD,ACCT_0868,FAKE-00098,12943.0,10,CA,USA,"Monomix Heparin, 10um",Affinity,Monomix MC10 Heparin Affinity,10,1000,4.6,50,1130.93,931.67,4.6mmx50mm
Sales Rep D,Sales Rep C,7/22/2025,Standard Sales Order,SO2023000066,ACCT_0868_YWG,ACCT_0868,FAKE-00284,503.49,1,CA,USA,Zenix SEC-300,SEC,Zenix SEC-300,3,100,4,10,440.06,383.1,4mmx10mm
Sales Rep C,Sales Rep D,2/15/2025,Standard Sales Order,SO2024000067,ACCT_0868_EYT,ACCT_0868,FAKE-00926,1181.32,1,CA,USA,"HPLC Column,  SRT SEC-500",SEC,SRT SEC,5,500,4.6,300,1134.08,972.51,4.6mmx300mm
Sales Rep A,Sales Rep A,7/10/2025,Standard Sales Order,SO2025000068,ACCT_0868_UFI,ACCT_0868,FAKE-01230,7677.2,10,CA,USA,"HPLC Column, Monomix MC10-SEC",SEC,Monomix MC-10 SEC,10,300,7.8,300,626.69,509.69,7.8mmx300mm
Sales Rep D,Sales Rep C,7/20/2025,Standard Sales Order,SO2023000069,ACCT_0868_AUO,ACCT_0868,FAKE-00759,8067.3,5,CA,USA,"HPLC Column,  SRT-C SEC-500",SEC,SRT-C SEC,5,500,4.6,300,1241.12,1115.49,4.6mmx300mm
Sales Rep B,Sales Rep D,9/13/2024,Standard Sales Order,SO2024000070,ACCT_0868_NQT,ACCT_0868,FAKE-01173,5222.1,10,MA,USA,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,7.8,50,401.7,343.47,7.8mmx50mm
Sales Rep A,Sales Rep A,12/26/2024,Service sales order,SO2025000071,ACCT_0868_IPE,ACCT_0868,FAKE-01173,5415.26,2,WA,USA,"HPLC Column,  Proteomix HIC Propyl-NP1.7",HIC,Proteomix HIC Propyl,1.7,NP,4.6,100,2086.0,1564.5,4.6mmx100mm
Sales Rep C,Sales Rep D,11/22/2024,Standard Sales Order,SO2023000072,ACCT_0868_OMJ,ACCT_0868,FAKE-00759,2659.54,2,IN,USA,PEEK coupler,Accessories,Coupler,Null,Null,Null,Null,1083.53,805.86,Null
Sales Rep C,Sales Rep B,9/5/2024,Standard Sales Order,SO2024000073,ACCT_0868_JVU,ACCT_0868,FAKE-00719,5738.2,2,,Netherlands,"HPLC Column,  SRT SEC-500",SEC,SRT SEC,5,500,7.8,300,2207.0,1655.25,7.8mmx300mm
Sales Rep D,Sales Rep A,5/13/2025,Standard Sales Order,SO2025000074,ACCT_0868_EWG,ACCT_0868,FAKE-01266,3707.6,4,MA,USA,"HPLC Column,  Zenix SEC-80",SEC,Zenix SEC,3,80,2.1,50,713.0,534.75,2.1mmx50mm
Sales Rep B,Sales Rep A,3/15/2025,Standard Sales Order,SO2023000075,ACCT_0868_KLU,ACCT_0868,FAKE-00071,16569.1,10,CA,USA,Zenix SEC-60,SEC,Zenix SEC,3,60,2.1,50,1488.99,1205.69,2.1mmx50mm
Sales Rep A,Sales Rep D,5/22/2025,Standard Sales Order,SO2024000076,ACCT_0868_JEE,ACCT_0868,FAKE-00540,463.18,1,CA,USA,"HPLC Column,  GP-C18",RP,GP-C18,5,120,21.2,100,356.29,282.51,21.2mmx100mm
Sales Rep C,Sales Rep A,7/28/2025,Standard Sales Order,SO2025000077,ACCT_0868_YIJ,ACCT_0868,FAKE-00071,1463.33,1,CA,USA,"HPLC Column,  Zenix-C SEC-100",SEC,Zenix-C SEC,3,100,7.8,150,1149.97,912.18,7.8mmx150mm
Sales Rep D,Sales Rep D,8/7/2025,Standard Sales Order,SO2023000078,ACCT_0868_FPI,ACCT_0868,FAKE-00098,7226.9,5,,Germany,"HPLC Column, SRT SEC-2000",SEC,SRT SEC,5,2000,21.2,300,1194.99,862.92,21.2mmx300mm
Sales Rep B,Sales Rep C,1/8/2025,Standard Sales Order,SO2024000079,ACCT_0868_MDH,ACCT_0868,FAKE-01248,23696.4,2,,United Kingdom,"HPLC Column,  SRT-10C SEC-100",SEC,SRT-10C SEC,10,100,30,300,9114.0,8202.6,30mmx300mm
Sales Rep A,Sales Rep C,12/30/2024,Standard Sales Order,SO2025000080,ACCT_0868_PVN,ACCT_0868,FAKE-00477,7403.1,10,,Canada,Proteomix SAX-NP5,IEX,Proteomix SAX,5,NP,2.1,250,1042.7,737.17,2.1mmx250mm
Sales Rep A,Sales Rep D,8/2/2024,Standard Sales Order,SO2023000081,ACCT_0868_YKC,ACCT_0868,FAKE-00542,3270.12,3,,Poland,"HPLC Column,  SRT-10C SEC-100",SEC,SRT-10C SEC,10,100,30,300,1293.39,1090.04,30mmx300mm
Sales Rep C,Sales Rep D,7/2/2025,Standard Sales Order,SO2024000082,ACCT_0868_WNP,ACCT_0868,FAKE-00079,1420.08,1,CA,USA,"HPLC Column,  Zenix-C SEC-300",SEC,Zenix-C SEC,3,300,4.6,150,1092.37,894.06,4.6mmx150mm
Sales Rep B,Sales Rep A,3/21/2025,Standard Sales Order,SO2025000083,ACCT_0868_WOZ,ACCT_0868,FAKE-00300,2512.88,4,,United Kingdom,"HPLC Column,  Zenix SEC-300",SEC,Zenix SEC,3,300,7.8,300,659.47,477.77,7.8mmx300mm
Sales Rep A,Sales Rep D,7/10/2025,Standard Sales Order,SO2023000084,ACCT_0868_WAR,ACCT_0868,FAKE-01279,5989.1,10,CA,USA,"HPLC Column,  HP-Amino",NP,HP-Amino,5,120,4.6,150,631.0,540.9,4.6mmx150mm
Sales Rep D,Sales Rep C,6/30/2025,Standard Sales Order,SO2024000085,ACCT_0868_WBN,ACCT_0868,FAKE-00955,4307.04,3,,Germany,"HPLC Column,  Nanofilm SEC-250",SEC,Nanofilm SEC,5,250,4.6,300,1461.0,1095.75,4.6mmx300mm
Sales Rep B,Sales Rep B,1/27/2025,Standard Sales Order,SO2025000086,ACCT_0868_HUV,ACCT_0868,FAKE-00771,11734.4,10,NC,USA,"HPLC Column, SRT SEC-2000",SEC,SRT SEC,5,2000,4.6,300,1022.46,806.99,4.6mmx300mm
Sales Rep B,Sales Rep D,12/19/2024,Standard Sales Order,SO2023000087,ACCT_0868_LUX,ACCT_0868,FAKE-00916,2437.9,2,CA,USA,"HPLC Column,  SRT-10 SEC-300",SEC,SRT-10 SEC,10,300,10,300,1078.28,862.83,10mmx300mm
Sales Rep D,Sales Rep D,3/12/2025,Standard Sales Order,SO2024000088,ACCT_0868_LYF,ACCT_0868,FAKE-01034,24063.0,10,WA,USA,"HPLC Column,  Zenix SEC-300",SEC,Zenix SEC,3,300,7.8,150,1851.0,1388.25,7.8mmx150mm
Sales Rep A,Sales Rep A,10/4/2024,Standard Sales Order,SO2025000089,ACCT_0868_GPU,ACCT_0868,FAKE-00667,4754.91,3,CA,USA,"Sepax Protein standard for Size Exclusion Chromatography (SEC-1000 and SEC-2000) and used for general correlation of elution time vs. protein MW (5 vials, 50ul/vial) -Thyroglobulin (1 mg/mL) -Uracil (0.1 mg/mL)",Sepax Protein Standard,Sepax Protein Standard,Null,Null,Null,Null,1447.88,1155.91,Null
Sales Rep B,Sales Rep D,1/7/2025,Standard Sales Order,SO2023000090,ACCT_0868_VAT,ACCT_0868,FAKE-00955,2067.98,2,,Austria,"HPLC Column,  Proteomix WAX-NP5",IEX,Proteomix WAX,5,NP,4.6,150,1036.49,838.43,4.6mmx150mm
Sales Rep C,Sales Rep C,11/10/2024,Service sales order,SO2024000091,ACCT_0868_WKR,ACCT_0868,FAKE-01252,5380.32,4,,France,Proteomix POR15-HQ,IEX,Anion Exchange,15um,Null,21.2,250,1398.43,1185.33,21.2mmx250mm
Sales Rep A,Sales Rep D,1/3/2025,Standard Sales Order,SO2025000092,ACCT_0868_RZB,ACCT_0868,FAKE-01159,7459.8,10,NJ,USA,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,7.8,150,573.83,451.92,7.8mmx150mm
Sales Rep D,Sales Rep A,8/26/2025,Standard Sales Order,SO2023000093,ACCT_0698_BEZ,ACCT_0698,FAKE-00184,1328.94,2,,Germany,"Sepax Protein standard for Proteomix HIC (5 vials, 50ul/vial) -Ovalbumin (1 mg/mL) -Chymotrypsinogen (0.5 mg/mL)",Sepax Protein Standard,Sepax Protein Standard,Null,Null,Null,Null,906.45,653.75,Null
Sales Rep D,Sales Rep D,4/5/2025,Standard Sales Order,SO2024000094,ACCT_0698_YNA,ACCT_0698,FAKE-00845,1211.99,1,NH,USA,SRT-10 SEC-100,SEC,SRT-10 SEC,10,100,7.8,300,1376.85,1097.5,7.8mmx300mm
Sales Rep A,Sales Rep B,3/16/2025,Standard Sales Order,SO2025000095,ACCT_0698_ZQW,ACCT_0698,FAKE-00845,1470.64,1,NC,USA,"HPLC Column, SRT SEC-2000",SEC,SRT SEC,5,2000,4.6,300,1633.0,1143.1,4.6mmx300mm
