Current_Rep,Seller,Date,Doc_Type,Doc_No,Customer,Customer_Group,Material_Code,Amount,Sales_Qty,Ship_To_State,Billing_Country,Material_Name,Broad_Phase,Product_Phase,Particle_size,Pore_size,ID_(mm),Length_(mm),List_price,Price_Floor,Specification
Sales Rep D,Sales Rep D,6/22/2024,Order,SO2025009236,Account_0123_DBC,Account_0123,FAKE-00003,3037.36,4,,Switzerland,"Proteomix SCX, 5μm, 300Å, 7.8×150 mm",SEC,Proteomix SCX,5,300,7.8,150,796.27,633.69,7.8x150mm
Sales Rep D,Sales Rep D,6/18/2023,Invoice,SO2025010082,Account_0123_XGK,Account_0123,FAKE-00857,5105.44,4,,China,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",SEC,Zenix SEC,3,300,7.8,300,1628.25,1273.23,7.8x300mm
Sales Rep D,Sales Rep D,8/31/2023,Invoice,SO2023010770,Account_0123_IFF,Account_0123,FAKE-00021,3819.92,4,,China,"Affinity Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,1203.18,951.12,4.6x150mm
Sales Rep A,Sales Rep A,7/24/2023,Order,SO2023012435,Account_0123_MMU,Account_0123,FAKE-00052,4910.7,3,,Japan,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",SEC,Zenix SEC,3,300,7.8,300,1660.1,1227.32,7.8x300mm
Sales Rep B,Sales Rep B,8/2/2024,Invoice,SO2025014003,Account_0123_KEK,Account_0123,FAKE-00055,6078.9,5,,Spain,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",SEC,SRT-C SEC,5,1000,7.8,250,1401.29,1097.79,7.8x250mm
Sales Rep A,Sales Rep A,5/18/2024,Order,SO2025014744,Account_0123_XNH,Account_0123,FAKE-00001,1239.51,1,UT,USA,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",Service,SRT-C SEC,5,1000,7.8,250,1457.28,1215.62,7.8x250mm
Sales Rep B,Sales Rep B,8/2/2024,Invoice,SO2025015001,Account_0123_KEK,Account_0123,FAKE-00055,6078.9,5,,Spain,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",SEC,SRT-C SEC,5,1000,7.8,250,1401.29,1097.79,7.8x250mm
Sales Rep A,Sales Rep A,7/24/2023,Order,SO2025015002,Account_0123_MMU,Account_0123,FAKE-00052,4910.7,3,,Japan,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",IEX,Zenix SEC,3,300,7.8,300,1660.1,1227.32,7.8x300mm
Sales Rep B,Sales Rep B,9/1/2024,Order,SO2025015003,Account_0123_IQA,Account_0123,FAKE-00692,6781.8,5,,France,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",SEC,Zenix SEC,3,300,7.8,300,1549.72,1245.04,7.8x300mm
Sales Rep D,Sales Rep D,8/31/2023,Invoice,SO2025015004,Account_0123_IFF,Account_0123,FAKE-00021,3819.92,4,,China,"Affinity Item, 5μm, 300Å, 4.6×150 mm",IEX,General,5,300,4.6,150,1203.18,951.12,4.6x150mm
Sales Rep D,Sales Rep D,6/18/2023,Invoice,SO2025015005,Account_0123_XGK,Account_0123,FAKE-00857,5105.44,4,,China,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",SEC,Zenix SEC,3,300,7.8,300,1628.25,1273.23,7.8x300mm
Sales Rep C,Sales Rep C,11/6/2023,Order,SO2025015006,Account_0123_HDQ,Account_0123,FAKE-00008,843.2,2,MA,USA,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,502.94,390.75,4.6x150mm
Sales Rep D,Sales Rep D,6/18/2023,Invoice,SO2025015007,Account_0123_XGK,Account_0123,FAKE-00857,5105.44,4,,China,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",RP,Zenix SEC,3,300,7.8,300,1628.25,1273.23,7.8x300mm
Sales Rep D,Sales Rep D,6/22/2024,Order,SO2025015008,Account_0123_DBC,Account_0123,FAKE-00003,3037.36,4,,Switzerland,"Proteomix SCX, 5μm, 300Å, 7.8×150 mm",Sepax Protein Standard,Proteomix SCX,5,300,7.8,150,796.27,633.69,7.8x150mm
Sales Rep C,Sales Rep C,11/6/2023,Order,SO2025015009,Account_0123_HDQ,Account_0123,FAKE-00008,843.2,2,MA,USA,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,502.94,390.75,4.6x150mm
Sales Rep A,Sales Rep A,5/18/2024,Order,SO2025015010,Account_0123_XNH,Account_0123,FAKE-00001,1239.51,1,UT,USA,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",RP,SRT-C SEC,5,1000,7.8,250,1457.28,1215.62,7.8x250mm
Sales Rep D,Sales Rep D,8/31/2023,Invoice,SO2025015011,Account_0123_IFF,Account_0123,FAKE-00021,3819.92,4,,China,"Affinity Item, 5μm, 300Å, 4.6×150 mm",Service,General,5,300,4.6,150,1203.18,951.12,4.6x150mm
Sales Rep A,Sales Rep A,5/18/2024,Order,SO2025015012,Account_0123_XNH,Account_0123,FAKE-00001,1239.51,1,UT,USA,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",HIC,SRT-C SEC,5,1000,7.8,250,1457.28,1215.62,7.8x250mm
Sales Rep B,Sales Rep B,9/21/2023,Invoice,SO2025015013,Account_0123_JIO,Account_0123,FAKE-00014,2338.6,4,,China,"Zenix SEC, 3μm, 1000Å, 4.6×50 mm",Accessories,Zenix SEC,3,1000,4.6,50,596.28,486.45,4.6x50mm
Sales Rep D,Sales Rep D,3/22/2023,Order,SO2023004140,Account_0004_MXZ,Account_0004,FAKE-01125,530.99,1,,Ireland,"Accessories Item, 5μm, 300Å, 4.6×150 mm",Service,General,5,300,4.6,150,554.07,529.79,4.6x150mm
Sales Rep B,Sales Rep B,4/22/2025,Order,SO2025012746,Account_0004_QRP,Account_0004,FAKE-00009,926.1,5,UT,USA,"SRT-C SEC, 10μm, 100Å, 2.1×50 mm",Service,SRT-C SEC,10,100,2.1,50,195.43,160.72,2.1x50mm
Sales Rep D,Sales Rep D,2/22/2025,Invoice,SO2024013018,Account_0004_INR,Account_0004,FAKE-00006,3776.85,3,,South Korea,"C18, 3μm, 1000Å, 4.6×300 mm",Service,C18,3,1000,4.6,300,1272.93,1016.15,4.6x300mm
Sales Rep A,Sales Rep A,12/9/2024,Order,SO2024005563,Account_0002_MEE,Account_0002,FAKE-00045,2904.76,4,LA,USA,"Service Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,987.79,719.78,4.6x150mm
Sales Rep B,Sales Rep B,6/16/2025,Order,SO2023014064,Account_0002_DRU,Account_0002,FAKE-01018,3106.41,3,PA,USA,"SRT-C SEC, 5μm, 300Å, 4.6×300 mm",SEC,SRT-C SEC,5,300,4.6,300,1133.76,884.57,4.6x300mm
Sales Rep D,Sales Rep D,1/19/2025,Order,SO2023012534,Account_0170_OYX,Account_0170,FAKE-01253,1815.96,2,MT,USA,"Service Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,1031.31,857.47,4.6x150mm
Sales Rep C,Sales Rep C,2/22/2024,Invoice,SO2024006211,Account_0170_BTL,Account_0170,FAKE-00008,1276.68,3,KS,USA,"Proteomix SEC, 10μm, 100Å, 4.6×150 mm",SEC,Proteomix SEC,10,100,4.6,150,575.66,423.15,4.6x150mm
Sales Rep D,Sales Rep D,3/24/2025,Invoice,SO2023000006,Account_0170_UAN,Account_0170,FAKE-00042,1164.93,1,,Singapore,"Service Item, 5μm, 300Å, 4.6×150 mm",Accessories,General,5,300,4.6,150,1267.56,957.87,4.6x150mm
Sales Rep A,Sales Rep A,10/29/2023,Invoice,SO2023004434,Account_0051_LJX,Account_0051,FAKE-00737,1611.27,3,FL,USA,"Zenix SEC, 3μm, 100Å, 2.1×150 mm",IEX,Zenix SEC,3,100,2.1,150,570.18,482.49,2.1x150mm
Sales Rep A,Sales Rep A,10/12/2023,Invoice,SO2023006162,Account_0051_NBY,Account_0051,FAKE-00749,2644.8,5,KS,USA,"Zenix SEC, 3μm, 100Å, 2.1×150 mm",IEX,Zenix SEC,3,100,2.1,150,562.03,454.64,2.1x150mm
Sales Rep C,Sales Rep C,1/23/2025,Invoice,SO2024009280,Account_0051_ZJI,Account_0051,FAKE-01248,3508.6,4,,Mexico,"Proteomix SEC, 5μm, 300Å, 7.8×150 mm",Sepax Protein Standard,Proteomix SEC,5,300,7.8,150,940.81,690.16,7.8x150mm
Sales Rep A,Sales Rep A,5/20/2025,Invoice,SO2023010188,Account_0051_JLM,Account_0051,FAKE-00934,743.05,1,AK,USA,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,1069.02,736.76,4.6x150mm
Sales Rep D,Sales Rep D,3/6/2025,Order,SO2025007520,Account_0051_NCU,Account_0051,FAKE-00045,1586.04,4,AZ,USA,"Carbomix Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,435.09,342.18,4.6x150mm
Sales Rep C,Sales Rep C,10/7/2023,Invoice,SO2023006096,Account_0051_ZUZ,Account_0051,FAKE-00086,1561.69,1,MA,USA,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",Accessories,Zenix SEC,3,300,7.8,300,1695.79,1224.54,7.8x300mm
Sales Rep B,Sales Rep B,6/14/2023,Invoice,SO2023006057,Account_0051_FWQ,Account_0051,FAKE-00945,2269.72,4,,China,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,654.1,523.53,4.6x150mm
Sales Rep D,Sales Rep D,10/28/2023,Invoice,SO2025004142,Account_0182_FHG,Account_0182,FAKE-00956,806.39,1,,Germany,"SRT-C SEC, 3μm, 1000Å, 7.8×50 mm",SEC,SRT-C SEC,3,1000,7.8,50,911.29,783.64,7.8x50mm
Sales Rep D,Sales Rep D,10/2/2023,Invoice,SO2025012602,Account_0182_VTP,Account_0182,FAKE-00021,1347.14,1,IN,USA,"Proteomix SEC, 3μm, 1000Å, 7.8×150 mm",SEC,Proteomix SEC,3,1000,7.8,150,1395.11,1083.04,7.8x150mm
Sales Rep A,Sales Rep A,6/6/2023,Invoice,SO2023008838,Account_0182_DZK,Account_0182,FAKE-00028,2182.24,4,,Germany,"Accessories Item, 5μm, 300Å, 4.6×150 mm",IEX,General,5,300,4.6,150,593.63,532.8,4.6x150mm
Sales Rep A,Sales Rep A,10/11/2024,Invoice,SO2024003406,Account_0182_QGJ,Account_0182,FAKE-00015,4321.16,4,CT,USA,"SRT-C SEC, 5μm, 300Å, 4.6×300 mm",SEC,SRT-C SEC,5,300,4.6,300,1134.0,920.99,4.6x300mm
Sales Rep B,Sales Rep B,10/2/2023,Invoice,SO2025005003,Account_0182_NWF,Account_0182,FAKE-00805,2962.4,2,NM,USA,"Zenix SEC, 5μm, 1000Å, 7.8×300 mm",RP,Zenix SEC,5,1000,7.8,300,1554.19,1246.27,7.8x300mm
Sales Rep D,Sales Rep D,6/23/2025,Invoice,SO2023005403,Account_0182_FSY,Account_0182,FAKE-00097,4250.25,5,MD,USA,"Proteomix WCX, 10μm, 1000Å, 4.6×250 mm",SEC,Proteomix WCX,10,1000,4.6,250,929.13,703.3,4.6x250mm
Sales Rep A,Sales Rep A,6/25/2023,Invoice,SO2025013475,Account_0182_BGA,Account_0182,FAKE-01143,5639.72,4,,South Korea,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",SEC,SRT-C SEC,5,1000,7.8,250,1497.95,1112.28,7.8x250mm
Sales Rep D,Sales Rep D,8/7/2024,Invoice,SO2024011770,Account_0182_CCG,Account_0182,FAKE-00661,796.1,1,,Italy,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,882.32,676.18,4.6x150mm
Sales Rep D,Sales Rep D,5/30/2023,Invoice,SO2025008189,Account_0182_KJK,Account_0182,FAKE-00707,3926.4,3,,South Korea,"SRT-C SEC, 5μm, 1000Å, 4.6×300 mm",IEX,SRT-C SEC,5,1000,4.6,300,1381.43,1122.89,4.6x300mm
Sales Rep A,Sales Rep A,4/1/2023,Invoice,SO2024000010,Account_0138_YYU,Account_0138,FAKE-00102,628.88,1,,Sweden,"Zenix SEC, 5μm, 300Å, 4.6×150 mm",Sepax Protein Standard,Zenix SEC,5,300,4.6,150,691.56,524.31,4.6x150mm
Sales Rep C,Sales Rep C,8/20/2023,Invoice,SO2023011619,Account_0138_SUP,Account_0138,FAKE-00749,880.02,2,MD,USA,"Proteomix WCX, 10μm, 1000Å, 2.1×150 mm",SEC,Proteomix WCX,10,1000,2.1,150,466.09,328.29,2.1x150mm
Sales Rep A,Sales Rep A,4/7/2023,Invoice,SO2025000011,Account_0908_JFY,Account_0908,FAKE-00945,4914.05,5,,Singapore,"Zenix SEC, 10μm, 100Å, 7.8×300 mm",SEC,Zenix SEC,10,100,7.8,300,1097.24,807.8,7.8x300mm
Sales Rep C,Sales Rep C,1/25/2025,Invoice,SO2025003491,Account_0908_BUI,Account_0908,FAKE-00040,4164.3,5,NY,USA,"Proteomix SCX, 3μm, 300Å, 2.1×250 mm",IEX,Proteomix SCX,3,300,2.1,250,835.08,591.47,2.1x250mm
Sales Rep A,Sales Rep A,4/7/2023,Invoice,SO2025015014,Account_0908_JFY,Account_0908,FAKE-00945,4914.05,5,,Singapore,"Zenix SEC, 10μm, 100Å, 7.8×300 mm",RP,Zenix SEC,10,100,7.8,300,1097.24,807.8,7.8x300mm
Sales Rep A,Sales Rep A,2/2/2025,Invoice,SO2023010080,Account_0003_TUJ,Account_0003,FAKE-00008,5224.16,4,AL,USA,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",Accessories,SRT-C SEC,5,1000,7.8,250,1441.5,1163.73,7.8x250mm
Sales Rep D,Sales Rep D,12/30/2023,Invoice,SO2025010154,Account_0003_WKU,Account_0003,FAKE-00009,3493.85,5,,China,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,708.2,540.71,4.6x150mm
Sales Rep D,Sales Rep D,9/13/2024,Invoice,SO2025009497,Account_0003_HPJ,Account_0003,FAKE-00040,1123.9,1,,Canada,"NP Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,1204.94,983.24,4.6x150mm
Sales Rep D,Sales Rep D,8/26/2024,Invoice,SO2023013089,Account_0003_DZY,Account_0003,FAKE-00025,3123.05,5,MI,USA,"Affinity Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,805.56,612.73,4.6x150mm
Sales Rep A,Sales Rep A,3/15/2024,Invoice,SO2023009555,Account_0003_BXZ,Account_0003,FAKE-00677,297.19,1,,Germany,"Zenix SEC, 3μm, 1000Å, 2.1×50 mm",SEC,Zenix SEC,3,1000,2.1,50,342.21,288.03,2.1x50mm
Sales Rep D,Sales Rep D,2/9/2025,Order,SO2023004071,Account_0003_PAI,Account_0003,FAKE-00098,1246.56,1,,Singapore,"Zenix SEC, 10μm, 1000Å, 7.8×250 mm",SEC,Zenix SEC,10,1000,7.8,250,1258.13,1202.2,7.8x250mm
Sales Rep D,Sales Rep D,7/16/2024,Invoice,SO2025006278,Account_0003_UID,Account_0003,FAKE-00001,5329.3,5,PA,USA,"SRT-C SEC, 10μm, 1000Å, 4.6×250 mm",Service,SRT-C SEC,10,1000,4.6,250,1069.02,908.1,4.6x250mm
Sales Rep C,Sales Rep C,9/8/2024,Invoice,SO2025004877,Account_0003_AFT,Account_0003,FAKE-00018,3468.7,5,,Spain,"Proteomix SCX, 5μm, 100Å, 4.6×300 mm",SEC,Proteomix SCX,5,100,4.6,300,856.69,687.77,4.6x300mm
Sales Rep B,Sales Rep B,11/28/2024,Invoice,SO2025007325,Account_0003_XTN,Account_0003,FAKE-01186,2587.56,4,SD,USA,"SRT-C SEC, 3μm, 100Å, 7.8×50 mm",RP,SRT-C SEC,3,100,7.8,50,761.85,589.7,7.8x50mm
Sales Rep C,Sales Rep C,11/1/2024,Invoice,SO2024005947,Account_0041_JKB,Account_0041,FAKE-00981,1474.29,3,,Brazil,"Accessories Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,553.85,479.93,4.6x150mm
Sales Rep B,Sales Rep B,3/30/2025,Invoice,SO2025011171,Account_0041_GRQ,Account_0041,FAKE-00003,1432.55,5,NM,USA,"SRT-C SEC, 10μm, 300Å, 4.6×50 mm",SEC,SRT-C SEC,10,300,4.6,50,363.73,275.88,4.6x50mm
Sales Rep A,Sales Rep A,1/5/2025,Invoice,SO2023003246,Account_0041_ZEF,Account_0041,FAKE-00720,590.28,3,NY,USA,"Phenyl, 3μm, 300Å, 2.1×50 mm",Accessories,Phenyl,3,300,2.1,50,210.37,165.25,2.1x50mm
Sales Rep A,Sales Rep A,6/26/2023,Invoice,SO2025002420,Account_0041_JYZ,Account_0041,FAKE-00054,2033.58,3,,South Korea,"SRT-C SEC, 3μm, 100Å, 7.8×50 mm",HIC,SRT-C SEC,3,100,7.8,50,758.23,568.62,7.8x50mm
Sales Rep B,Sales Rep B,3/13/2025,Invoice,SO2025011900,Account_0041_RJE,Account_0041,FAKE-00008,389.29,1,,Singapore,"HP-Amino, 5μm, 100Å, 4.6×150 mm",SEC,HP-Amino,5,100,4.6,150,453.21,381.82,4.6x150mm
Sales Rep B,Sales Rep B,3/7/2025,Invoice,SO2024000877,Account_0041_TXW,Account_0041,FAKE-01224,1595.52,4,,South Korea,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,423.35,344.71,4.6x150mm
Sales Rep B,Sales Rep B,11/28/2024,Invoice,SO2023014394,Account_0041_PBK,Account_0041,FAKE-01027,154.7,1,VA,USA,"SRT-C SEC, 10μm, 100Å, 2.1×50 mm",Tween,SRT-C SEC,10,100,2.1,50,190.87,151.44,2.1x50mm
Sales Rep D,Sales Rep D,3/27/2023,Invoice,SO2024011026,Account_0041_LXX,Account_0041,FAKE-00671,3179.65,5,,Mexico,"NP Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,679.72,607.21,4.6x150mm
Sales Rep A,Sales Rep A,1/14/2025,Invoice,SO2025001520,Account_0041_EOM,Account_0041,FAKE-00042,900.9,2,,India,"Zenix SEC, 10μm, 300Å, 7.8×50 mm",SEC,Zenix SEC,10,300,7.8,50,580.62,416.78,7.8x50mm
Sales Rep A,Sales Rep A,2/4/2023,Invoice,SO2025003743,Account_0041_MAT,Account_0041,FAKE-00811,3421.5,5,,South Korea,"Zenix SEC, 3μm, 300Å, 7.8×50 mm",HIC,Zenix SEC,3,300,7.8,50,810.25,667.87,7.8x50mm
Sales Rep C,Sales Rep C,4/26/2024,Invoice,SO2025000629,Account_0041_YFA,Account_0041,FAKE-00077,2373.1,5,MA,USA,"Phenyl, 10μm, 100Å, 4.6×250 mm",IEX,Phenyl,10,100,4.6,250,586.35,440.09,4.6x250mm
Sales Rep A,Sales Rep A,6/25/2024,Order,SO2025000215,Account_0041_LVC,Account_0041,FAKE-00040,2076.62,2,,Norway,"SRT-C SEC, 5μm, 300Å, 4.6×300 mm",SEC,SRT-C SEC,5,300,4.6,300,1117.11,826.62,4.6x300mm
Sales Rep D,Sales Rep D,10/24/2024,Invoice,SO2023005493,Account_0041_RFZ,Account_0041,FAKE-00003,2514.94,2,,Brazil,"Proteomix WCX, 10μm, 1000Å, 7.8×300 mm",Carbomix,Proteomix WCX,10,1000,7.8,300,1261.77,978.87,7.8x300mm
Sales Rep B,Sales Rep B,7/1/2023,Invoice,SO2025006668,Account_0041_NAG,Account_0041,FAKE-00027,6524.2,5,,Australia,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",RP,SRT-C SEC,5,1000,7.8,250,1459.68,1085.35,7.8x250mm
Sales Rep C,Sales Rep C,3/18/2023,Order,SO2023000015,Account_0041_QUH,Account_0041,FAKE-00707,1868.5,2,,South Korea,"SRT-C SEC, 5μm, 300Å, 4.6×300 mm",SEC,SRT-C SEC,5,300,4.6,300,1051.63,846.26,4.6x300mm
Sales Rep C,Sales Rep C,8/29/2024,Invoice,SO2025001574,Account_0041_KXN,Account_0041,FAKE-00714,1423.56,4,MO,USA,"FPLC Empty Column Item, 5μm, 300Å, 4.6×150 mm",Carbomix,General,5,300,4.6,150,381.06,322.81,4.6x150mm
Sales Rep B,Sales Rep B,3/13/2024,Invoice,SO2023000645,Account_0041_XOO,Account_0041,FAKE-00685,695.92,4,,Singapore,"SRT-C SEC, 10μm, 100Å, 2.1×50 mm",SEC,SRT-C SEC,10,100,2.1,50,184.7,155.33,2.1x50mm
Sales Rep B,Sales Rep B,11/18/2024,Invoice,SO2025008168,Account_0041_FMF,Account_0041,FAKE-00039,421.32,1,OR,USA,"HIC Item, 5μm, 300Å, 4.6×150 mm",Tween,General,5,300,4.6,150,497.96,391.07,4.6x150mm
Sales Rep B,Sales Rep B,1/29/2025,Invoice,SO2024004369,Account_0041_NXE,Account_0041,FAKE-00010,2240.04,2,ND,USA,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",SEC,SRT-C SEC,5,1000,7.8,250,1459.06,1076.92,7.8x250mm
Sales Rep D,Sales Rep D,7/25/2023,Invoice,SO2025014441,Account_0041_BYV,Account_0041,FAKE-00026,1994.13,3,NJ,USA,"SRT-C SEC, 3μm, 100Å, 7.8×50 mm",SEC,SRT-C SEC,3,100,7.8,50,733.1,581.45,7.8x50mm
Sales Rep A,Sales Rep A,4/14/2023,Invoice,SO2024002851,Account_0041_MNE,Account_0041,FAKE-00035,1548.18,2,CO,USA,"Proteomix SCX, 3μm, 1000Å, 7.8×50 mm",Carbomix,Proteomix SCX,3,1000,7.8,50,812.52,662.48,7.8x50mm
